TS      Day   Newton   INJ1:BHP    INJ1:RATE0    INJ1:RATE1   INJ2:BHP    INJ2:RATE0    INJ2:RATE1   INJ3:BHP    INJ3:RATE0    INJ3:RATE1   INJ4:BHP    INJ4:RATE0    INJ4:RATE1   INJ5:BHP    INJ5:RATE0    INJ5:RATE1   INJ6:BHP    INJ6:RATE0    INJ6:RATE1   INJ7:BHP    INJ7:RATE0    INJ7:RATE1   INJ8:BHP    INJ8:RATE0    INJ8:RATE1   PRD1:BHP    PRD1:RATE0    PRD1:RATE1   PRD2:BHP    PRD2:RATE0    PRD2:RATE1   PRD3:BHP    PRD3:RATE0    PRD3:RATE1   PRD4:BHP    PRD4:RATE0    PRD4:RATE1
10       180        8    407.216         -79.5            -0    403.108         -79.5            -0    404.596         -79.5            -0     403.93         -79.5            -0    402.173         -79.5            -0    405.907         -79.5            -0    405.189         -79.5            -0    407.309         -79.5            -0        395             0       144.922        395       13.6732       254.654        395             0       98.5177        395             0       121.753
11       210        9    407.286         -79.5            -0    403.221         -79.5            -0    404.773         -79.5            -0     404.05         -79.5            -0    402.477         -79.5            -0    405.975         -79.5            -0    405.305         -79.5            -0    407.412         -79.5            -0        395             0       148.987        395       26.3988        229.14        395             0       101.967        395             0        127.08
12       240        7    407.385         -79.5            -0    403.338         -79.5            -0    404.974         -79.5            -0    404.219         -79.5            -0    402.794         -79.5            -0    406.072         -79.5            -0    405.447         -79.5            -0    407.504         -79.5            -0        395             0       152.983        395       39.0926       203.278        395             0       105.543        395             0       132.726
13       270        7    407.465         -79.5            -0    403.403         -79.5            -0     405.14         -79.5            -0    404.323         -79.5            -0    403.002         -79.5            -0    406.128         -79.5            -0    405.535         -79.5            -0    407.522         -79.5            -0        395             0       155.536        395       54.4993       178.968        395             0       108.018        395             0       136.663
14       300        6    407.538         -79.5            -0     403.42         -79.5            -0    405.286         -79.5            -0    404.365         -79.5            -0    403.114         -79.5            -0    406.161         -79.5            -0    405.574         -79.5            -0    407.466         -79.5            -0        395             0       156.637        395       71.8779       156.603        395             0       109.566        395             0        139.07
15       330        6    407.628         -79.5            -0    403.416         -79.5            -0    405.445         -79.5            -0    404.381         -79.5            -0    403.143         -79.5            -0    406.208         -79.5            -0    405.588         -79.5            -0    407.394         -79.5            -0        395             0       155.768        395       91.5504       135.289        395             0       110.729        395             0       140.496
16       360        7    407.956         -79.5            -0    403.518         -79.5            -0    405.785         -79.5            -0     404.47         -79.5            -0    403.176         -79.5            -0    406.395         -79.5            -0    405.651         -79.5            -0     407.37         -79.5            -0        395      0.335932       146.273        395       110.838       121.121        395             0       113.073        395             0       142.269
17       390        6    408.567         -79.5            -0    403.792         -79.5            -0    406.364         -79.5            -0    404.703         -79.5            -0    403.285         -79.5            -0    406.778         -79.5            -0    405.819         -79.5            -0    407.471         -79.5            -0        395       3.51201        124.16        395       130.588       112.995        395             0       117.448        395             0       145.297
18       420        6    409.088         -79.5            -0    404.015         -79.5            -0    406.871         -79.5            -0    404.898         -79.5            -0    403.368         -79.5            -0    407.133         -79.5            -0    405.961         -79.5            -0    407.585         -79.5            -0        395       9.25076       101.184        395       148.265       107.163        395             0       120.935        395             0       147.297
19       450        5    409.432         -79.5            -0    404.142         -79.5            -0    407.239         -79.5            -0    405.021         -79.5            -0    403.406         -79.5            -0    407.402         -79.5            -0    406.057         -79.5            -0     407.68         -79.5            -0        395       16.3451       81.1279        395       163.515       102.298        395             0       123.008        395             0       147.889
20       480        6    409.537         -79.5            -0    404.148         -79.5            -0    407.402         -79.5            -0    405.055         -79.5            -0    403.409         -79.5            -0    407.544         -79.5            -0    406.117         -79.5            -0    407.784         -79.5            -0        395       22.5609       69.8736        395       176.263       97.0603        395             0       123.204        395             0       145.298
21       510        6    409.729         -79.5            -0    404.285         -79.5            -0    407.695         -79.5            -0    405.354         -79.5            -0     403.73         -79.5            -0     407.89         -79.5            -0    406.595         -79.5            -0     408.42         -79.5            -0        395       29.0836       63.3863        395       193.834       95.5643        395             0       126.309        395       1.47048       124.713
22       540        6    410.018         -79.5            -0     404.51         -79.5            -0    408.129         -79.5            -0    405.824         -79.5            -0    404.152         -79.5            -0    408.454         -79.5            -0    407.305         -79.5            -0    409.198         -79.5            -0        395       37.2937       57.9824        395       212.731       96.2615        395      0.217219       121.914        395       8.32345       99.7746
23       570        6    410.324         -79.5            -0    404.729         -79.5            -0    408.607         -79.5            -0    406.302         -79.5            -0    404.465         -79.5            -0    409.131         -79.5            -0    407.993         -79.5            -0    409.746         -79.5            -0        395       47.0972       53.0243        395       228.496       97.2125        395       2.89554       101.008        395       15.0567       89.8463
24       600        6    410.542         -79.5            -0    404.893         -79.5            -0    408.979         -79.5            -0    406.688         -79.5            -0    404.683         -79.5            -0    409.685         -79.5            -0    408.548         -79.5            -0    410.127         -79.5            -0        395       57.3036       47.1895        395       240.215       98.0531        395        8.7225       78.4069        395       20.8482       84.0312
25       630        6    410.599         -79.5            -0    404.963         -79.5            -0    409.162         -79.5            -0    406.918         -79.5            -0     404.79         -79.5            -0    409.997         -79.5            -0    408.885         -79.5            -0    410.338         -79.5            -0        395       67.7904       40.6896        395       247.764         97.97        395       15.4973       61.0193        395       25.9262       78.2321
26       660        6    410.492         -79.5            -0    404.929         -79.5            -0    409.137         -79.5            -0    406.968         -79.5            -0    404.767         -79.5            -0    410.041         -79.5            -0    408.977         -79.5            -0    410.355         -79.5            -0        395       76.2623       35.5996        395       251.799       96.3271        395       21.0418       51.2331        395        30.002       72.7125
27       690        5    410.342         -79.5            -0    404.863         -79.5            -0     409.05         -79.5            -0    406.953         -79.5            -0      404.7         -79.5            -0    409.994         -79.5            -0    408.979         -79.5            -0    410.296         -79.5            -0        395       82.9115       31.8429        395       255.301       93.9454        395        25.901       44.2128        395       33.8363       67.1015
28       720        5    410.183         -79.5            -0    404.795         -79.5            -0    408.942         -79.5            -0     406.92         -79.5            -0    404.632         -79.5            -0    409.914         -79.5            -0    408.958         -79.5            -0    410.228         -79.5            -0        395       88.5181       28.7674        395       259.016       91.4177        395       30.2972       39.1754        395       38.2418       59.6905
29       750        5    409.991         -79.5            -0    404.705         -79.5            -0    408.787         -79.5            -0    406.837         -79.5            -0     404.53         -79.5            -0    409.779         -79.5            -0     408.87         -79.5            -0      410.1         -79.5            -0        395       93.5242       26.1332        395       261.826       88.5546        395       33.9956       35.2056        395       42.8456       53.1031
30       780        6    409.785         -79.5            -0    404.608         -79.5            -0    408.608         -79.5            -0    406.727         -79.5            -0    404.414         -79.5            -0    409.612         -79.5            -0    408.744         -79.5            -0     409.94         -79.5            -0        395       97.9845       24.0062        395       263.984       85.6067        395       37.1927         31.99        395       46.9331       47.5462
31       810        5    409.582         -79.5            -0    404.513         -79.5            -0    408.425         -79.5            -0    406.605         -79.5            -0    404.293         -79.5            -0    409.433         -79.5            -0    408.596         -79.5            -0    409.762         -79.5            -0        395       101.802       22.0575        395       265.716       82.7149        395       40.0512       29.3004        395       51.0626       42.5896
32       840        5    409.384         -79.5            -0    404.417         -79.5            -0     408.24         -79.5            -0    406.473         -79.5            -0    404.167         -79.5            -0    409.244         -79.5            -0    408.433         -79.5            -0    409.573         -79.5            -0        395       104.911       20.4298        395       267.005       79.9637        395       42.7373       27.0908        395       54.9415       38.2585
33       870        5    409.197         -79.5            -0    404.326         -79.5            -0    408.065         -79.5            -0    406.343         -79.5            -0    404.044         -79.5            -0    409.063         -79.5            -0    408.272         -79.5            -0    409.388         -79.5            -0        395       107.536       19.0836        395       267.999       77.4566        395       45.0858       25.1302        395       58.2459       34.8373
34       900        5    409.021         -79.5            -0    404.238         -79.5            -0    407.897         -79.5            -0    406.218         -79.5            -0    403.928         -79.5            -0    408.888         -79.5            -0    408.114         -79.5            -0    409.208         -79.5            -0        395       109.877       17.8685        395       268.727       75.1689        395       47.1818       23.4119        395       61.3081       31.8631
35       930        4    408.858         -79.5            -0    404.156         -79.5            -0     407.74         -79.5            -0    406.103         -79.5            -0    403.819         -79.5            -0    408.723         -79.5            -0    407.965         -79.5            -0     409.04         -79.5            -0        395       112.083       16.7566        395       269.261        73.088        395       49.1124       21.8879        395       64.3803       28.8683
36       960        5    408.699         -79.5            -0    404.074         -79.5            -0    407.587         -79.5            -0    405.988         -79.5            -0    403.713         -79.5            -0    408.561         -79.5            -0    407.815         -79.5            -0    408.873         -79.5            -0        395       114.111       15.7436        395       269.479       71.1393        395       50.9155       20.5188        395       66.8971       26.6603
37       990        4    408.551         -79.5            -0    403.995         -79.5            -0    407.444         -79.5            -0    405.879         -79.5            -0    403.612         -79.5            -0    408.407         -79.5            -0    407.673         -79.5            -0    408.716         -79.5            -0        395       116.065       14.8239        395       269.568       69.2675        395       52.5572       19.3291        395       69.1221       24.7545
38      1020        4    408.408         -79.5            -0    403.917         -79.5            -0    407.306         -79.5            -0    405.774         -79.5            -0    403.515         -79.5            -0     408.26         -79.5            -0    407.537         -79.5            -0    408.567         -79.5            -0        395       118.031       13.9771        395       269.536        67.441        395       54.0012       18.2822        395       71.1164       23.1241
39      1050        4    408.271         -79.5            -0     403.84         -79.5            -0    407.174         -79.5            -0    405.674         -79.5            -0    403.422         -79.5            -0    408.118         -79.5            -0    407.404         -79.5            -0    408.423         -79.5            -0        395       119.943       13.1824        395       269.447       65.6471        395       55.3086       17.3613        395       72.9027       21.7366
40      1080        4     408.14         -79.5            -0    403.765         -79.5            -0    407.047         -79.5            -0    405.577         -79.5            -0    403.333         -79.5            -0    407.982         -79.5            -0    407.277         -79.5            -0    408.285         -79.5            -0        395       121.763       12.4417        395       269.364        63.885        395       56.4832       16.5249        395       74.5743       20.5116
41      1110        4    408.008         -79.5            -0    403.689         -79.5            -0    406.919         -79.5            -0    405.478         -79.5            -0    403.245         -79.5            -0    407.846         -79.5            -0    407.149         -79.5            -0    408.146         -79.5            -0        395       123.584       11.7562        395       269.273       62.0827        395       57.5617       15.7492        395       76.1556       19.4023
42      1140        4    407.875         -79.5            -0    403.612         -79.5            -0    406.791         -79.5            -0    405.378         -79.5            -0    403.158         -79.5            -0     407.71         -79.5            -0    407.021         -79.5            -0    408.009         -79.5            -0        395       125.342       11.1532        395       269.206       60.2679        395       58.5388       15.0301        395        77.652        18.391
43      1170        4     407.75         -79.5            -0    403.538         -79.5            -0    406.669         -79.5            -0    405.281         -79.5            -0    403.074         -79.5            -0     407.58         -79.5            -0    406.898         -79.5            -0    407.876         -79.5            -0        395       126.923       10.6157        395       269.315       58.4277        395       59.4359       14.3645        395       79.0496       17.4652
44      1200        5    407.629         -79.5            -0    403.465         -79.5            -0    406.551         -79.5            -0    405.186         -79.5            -0    402.992         -79.5            -0    407.453         -79.5            -0    406.776         -79.5            -0    407.745         -79.5            -0        395       128.297       10.1351        395       269.655       56.4916        395       60.2812       13.7707        395       80.3635       16.6184
45      1230        4    407.511         -79.5            -0    403.392         -79.5            -0    406.436         -79.5            -0    405.091         -79.5            -0     402.91         -79.5            -0    407.329         -79.5            -0    406.655         -79.5            -0    407.614         -79.5            -0        395       129.526       9.71472        395        270.26       54.3546        395       61.0415       13.2411        395       81.6694       15.8203
46      1260        5    407.398         -79.5            -0     403.32         -79.5            -0    406.324         -79.5            -0    404.998         -79.5            -0    402.829         -79.5            -0    407.208         -79.5            -0    406.537         -79.5            -0    407.485         -79.5            -0        395        130.59       9.32756        395       271.176        52.076        395       61.7163       12.7495        395       82.9394       15.0689
47      1290        4    407.286         -79.5            -0    403.245         -79.5            -0    406.214         -79.5            -0    404.904         -79.5            -0    402.749         -79.5            -0     407.09         -79.5            -0     406.42         -79.5            -0    407.359         -79.5            -0        395       131.479       8.96313        395       272.503       49.6309        395       62.3066       12.2867        395       84.1307       14.3592
48      1320        4    407.173         -79.5            -0    403.168         -79.5            -0    406.104         -79.5            -0    404.809         -79.5            -0    402.669         -79.5            -0    406.972         -79.5            -0    406.305         -79.5            -0    407.234         -79.5            -0        395       132.219       8.61002        395       274.202       47.0447        395       62.8112       11.8505        395       85.2554       13.6821
49      1350        4    407.057         -79.5            -0    403.087         -79.5            -0    405.991         -79.5            -0    404.711         -79.5            -0    402.588         -79.5            -0    406.852         -79.5            -0    406.188         -79.5            -0     407.11         -79.5            -0        395        132.79       8.27254        395       276.093       44.4916        395       63.2613       11.4319        395       86.3027       13.0476
50      1380        4    406.943         -79.5            -0    403.004         -79.5            -0     405.88         -79.5            -0    404.615         -79.5            -0    402.509         -79.5            -0    406.734         -79.5            -0    406.075         -79.5            -0    406.988         -79.5            -0        395       133.224       7.95205        395       278.066       42.0353        395         63.68        11.038        395       87.2657       12.4456
51      1410        3    406.832         -79.5            -0    402.924         -79.5            -0    405.772         -79.5            -0    404.522         -79.5            -0    402.435         -79.5            -0    406.621         -79.5            -0    405.966         -79.5            -0    406.872         -79.5            -0        395       133.561       7.65194        395       279.895       39.8301        395       64.0624       10.6702        395       88.1683       11.8811
52      1440        3    406.724         -79.5            -0    402.845         -79.5            -0    405.666         -79.5            -0    404.431         -79.5            -0    402.365         -79.5            -0    406.509         -79.5            -0    405.859         -79.5            -0    406.758         -79.5            -0        395       133.801       7.37241        395       281.516       37.8879        395       64.4244       10.3303        395       89.0432       11.3566
53      1470        4    406.621         -79.5            -0    402.771         -79.5            -0    405.566         -79.5            -0    404.344         -79.5            -0      402.3         -79.5            -0    406.403         -79.5            -0    405.757         -79.5            -0     406.65         -79.5            -0        395       133.992       7.11729        395       282.963       36.1383        395       64.7676       10.0097        395       89.8859       10.8698
54      1500        4    406.523         -79.5            -0      402.7         -79.5            -0     405.47         -79.5            -0    404.262         -79.5            -0    402.238         -79.5            -0    406.302         -79.5            -0    405.661         -79.5            -0    406.547         -79.5            -0        395       134.145       6.88661        395       284.292       34.5325        395       65.0942       9.71043        395       90.6749       10.4188
55      1530        4    406.429         -79.5            -0    402.634         -79.5            -0    405.379         -79.5            -0    404.184         -79.5            -0    402.182         -79.5            -0    406.205         -79.5            -0    405.569         -79.5            -0     406.45         -79.5            -0        395       134.276       6.67914        395       285.471       33.0873        395       65.4031       9.43008        395       91.4171       10.0002
56      1560        4    406.337         -79.5            -0    402.567         -79.5            -0    405.289         -79.5            -0    404.107         -79.5            -0    402.125         -79.5            -0     406.11         -79.5            -0    405.479         -79.5            -0    406.354         -79.5            -0        395        134.36       6.48746        395       286.582        31.781        395       65.6747       9.16308        395       92.1138       9.61051
57      1590        3    406.248         -79.5            -0    402.504         -79.5            -0    405.203         -79.5            -0    404.033         -79.5            -0    402.072         -79.5            -0    406.019         -79.5            -0    405.393         -79.5            -0    406.263         -79.5            -0        395       134.415       6.30979        395       287.575       30.6158        395       65.9332       8.90915        395       92.7748       9.24741
58      1620        4    406.164         -79.5            -0    402.443         -79.5            -0    405.121         -79.5            -0    403.964         -79.5            -0    402.023         -79.5            -0    405.933         -79.5            -0    405.312         -79.5            -0    406.176         -79.5            -0        395       134.459       6.14585        395       288.459       29.5666        395       66.1877       8.66814        395       93.3926       8.90877
59      1650        3    406.084         -79.5            -0    402.387         -79.5            -0    405.043         -79.5            -0    403.898         -79.5            -0    401.976         -79.5            -0     405.85         -79.5            -0    405.235         -79.5            -0    406.093         -79.5            -0        395       134.494       5.99304        395       289.223       28.6272        395       66.4361       8.44094        395       93.9827       8.59709
60      1680        3    406.008         -79.5            -0    402.333         -79.5            -0    404.968         -79.5            -0    403.835         -79.5            -0    401.932         -79.5            -0    405.771         -79.5            -0    405.161         -79.5            -0    406.014         -79.5            -0        395       134.522       5.85111        395       289.901       27.7513        395       66.6735       8.22688        395       94.5615       8.31249
61      1710        3    405.935         -79.5            -0    402.282         -79.5            -0    404.897         -79.5            -0    403.775         -79.5            -0     401.89         -79.5            -0    405.696         -79.5            -0     405.09         -79.5            -0    405.938         -79.5            -0        395       134.545       5.71845        395       290.542       26.9168        395       66.9158       8.02239        395       95.1004       8.04531
62      1740        3    405.864         -79.5            -0    402.233         -79.5            -0    404.828         -79.5            -0    403.717         -79.5            -0    401.849         -79.5            -0    405.622         -79.5            -0    405.021         -79.5            -0    405.864         -79.5            -0        395       134.554       5.59334        395       291.165       26.1025        395       67.1704       7.82449        395       95.6057       7.79599
63      1770        3    405.795         -79.5            -0    402.185         -79.5            -0    404.761         -79.5            -0    403.661         -79.5            -0     401.81         -79.5            -0    405.551         -79.5            -0    404.955         -79.5            -0    405.793         -79.5            -0        395       134.552         5.475        395       291.742       25.3507        395       67.4163       7.63435        395       96.0829       7.56263
64      1800        4    405.729         -79.5            -0     402.14         -79.5            -0    404.697         -79.5            -0    403.607         -79.5            -0    401.771         -79.5            -0    405.482         -79.5            -0     404.89         -79.5            -0    405.724         -79.5            -0        395       134.542       5.36221        395       292.267       24.6573        395       67.6557       7.45032        395       96.5431       7.34387
65      1830        3    405.664         -79.5            -0    402.096         -79.5            -0    404.634         -79.5            -0    403.554         -79.5            -0    401.734         -79.5            -0    405.415         -79.5            -0    404.827         -79.5            -0    405.657         -79.5            -0        395       134.528       5.25541        395       292.735       24.0247        395       67.9006       7.27416        395       96.9713       7.13644
66      1860        3    405.601         -79.5            -0    402.053         -79.5            -0    404.572         -79.5            -0    403.503         -79.5            -0    401.698         -79.5            -0    405.349         -79.5            -0    404.766         -79.5            -0    405.592         -79.5            -0        395       134.509       5.15292        395       293.147       23.4516        395       68.1585       7.10449        395       97.3692       6.93762
67      1890        3    405.539         -79.5            -0    402.011         -79.5            -0    404.511         -79.5            -0    403.452         -79.5            -0    401.662         -79.5            -0    405.284         -79.5            -0    404.706         -79.5            -0    405.527         -79.5            -0        395       134.491       5.05439        395       293.504       22.9252        395       68.4117       6.93895        395         97.76       6.74863
68      1920        3    405.478         -79.5            -0    401.969         -79.5            -0    404.452         -79.5            -0    403.402         -79.5            -0    401.626         -79.5            -0     405.22         -79.5            -0    404.647         -79.5            -0    405.464         -79.5            -0        395       134.483        4.9594        395       293.825         22.44        395       68.6597       6.77873        395       98.1246       6.56705
69      1950        3    405.419         -79.5            -0    401.929         -79.5            -0    404.393         -79.5            -0    403.353         -79.5            -0     401.59         -79.5            -0    405.158         -79.5            -0    404.589         -79.5            -0    405.403         -79.5            -0        395       134.471       4.86715        395       294.134       21.9843        395       68.9022       6.62328        395       98.4647       6.39374
70      1980        3    405.361         -79.5            -0    401.889         -79.5            -0    404.336         -79.5            -0    403.304         -79.5            -0    401.555         -79.5            -0    405.097         -79.5            -0    404.533         -79.5            -0    405.343         -79.5            -0        395       134.451       4.77803        395       294.454        21.548        395       69.1369        6.4717        395       98.7771       6.22736
71      2010        3    405.303         -79.5            -0     401.85         -79.5            -0     404.28         -79.5            -0    403.256         -79.5            -0    401.519         -79.5            -0    405.037         -79.5            -0    404.477         -79.5            -0    405.283         -79.5            -0        395       134.414       4.69158        395       294.791       21.1249        395       69.3593       6.32286        395        99.074       6.06978
72      2040        3    405.246         -79.5            -0    401.811         -79.5            -0    404.224         -79.5            -0    403.208         -79.5            -0    401.482         -79.5            -0    404.977         -79.5            -0    404.421         -79.5            -0    405.224         -79.5            -0        395       134.367       4.60788        395       295.112       20.7112        395       69.5921       6.17979        395        99.358       5.92207
73      2070        3    405.191         -79.5            -0    401.772         -79.5            -0     404.17         -79.5            -0     403.16         -79.5            -0    401.446         -79.5            -0    404.918         -79.5            -0    404.365         -79.5            -0    405.165         -79.5            -0        395       134.311       4.52645        395       295.437        20.307        395       69.8269       6.04198        395       99.6218       5.78159
74      2100        2    405.136         -79.5            -0    401.734         -79.5            -0    404.115         -79.5            -0    403.113         -79.5            -0     401.41         -79.5            -0     404.86         -79.5            -0    404.311         -79.5            -0    405.107         -79.5            -0        395        134.26       4.44765        395        295.77       19.9119        395       70.0553       5.90915        395       99.8576        5.6457
75      2130        3    405.082         -79.5            -0    401.696         -79.5            -0    404.062         -79.5            -0    403.067         -79.5            -0    401.374         -79.5            -0    404.803         -79.5            -0    404.258         -79.5            -0    405.051         -79.5            -0        395       134.209       4.37094        395       296.115       19.5237        395       70.2727       5.78042        395       100.073       5.51521
76      2160        3    405.029         -79.5            -0    401.659         -79.5            -0     404.01         -79.5            -0    403.021         -79.5            -0    401.338         -79.5            -0    404.747         -79.5            -0    404.205         -79.5            -0    404.995         -79.5            -0        395       134.156       4.29642        395       296.467       19.1435        395       70.4803        5.6564        395       100.271       5.39114
77      2190        2    404.977         -79.5            -0    401.623         -79.5            -0    403.959         -79.5            -0    402.977         -79.5            -0    401.303         -79.5            -0    404.692         -79.5            -0    404.154         -79.5            -0    404.941         -79.5            -0        395       134.102       4.22403        395       296.828       18.7708        395       70.6767       5.53672        395       100.454       5.27228
78      2220        3    404.927         -79.5            -0    401.588         -79.5            -0    403.909         -79.5            -0    402.933         -79.5            -0    401.268         -79.5            -0    404.639         -79.5            -0    404.104         -79.5            -0    404.888         -79.5            -0        395       134.048       4.15353        395       297.199       18.4047        395       70.8604        5.4213        395       100.622        5.1585
79      2250        2    404.877         -79.5            -0    401.553         -79.5            -0    403.861         -79.5            -0     402.89         -79.5            -0    401.233         -79.5            -0    404.587         -79.5            -0    404.055         -79.5            -0    404.836         -79.5            -0        395       133.997       4.08496        395       297.579       18.0453        395       71.0323       5.30939        395       100.773       5.04928
80      2280        2    404.828         -79.5            -0    401.519         -79.5            -0    403.812         -79.5            -0    402.848         -79.5            -0    401.198         -79.5            -0    404.535         -79.5            -0    404.007         -79.5            -0    404.784         -79.5            -0        395       133.958       4.01879        395       297.957       17.6922        395       71.1959       5.20092        395       100.906       4.94435
81      2310        3     404.78         -79.5            -0    401.485         -79.5            -0    403.765         -79.5            -0    402.806         -79.5            -0    401.164         -79.5            -0    404.484         -79.5            -0    403.959         -79.5            -0    404.734         -79.5            -0        395       133.913       3.95396        395       298.332       17.3455        395       71.3709       5.09663        395        101.02       4.84339
82      2340        2    404.733         -79.5            -0    401.452         -79.5            -0    403.718         -79.5            -0    402.765         -79.5            -0    401.131         -79.5            -0    404.434         -79.5            -0    403.913         -79.5            -0    404.685         -79.5            -0        395       133.867       3.89083        395       298.712       17.0069        395       71.5375       4.99551        395       101.121       4.74667
83      2370        2    404.687         -79.5            -0     401.42         -79.5            -0    403.673         -79.5            -0    402.725         -79.5            -0    401.097         -79.5            -0    404.386         -79.5            -0    403.867         -79.5            -0    404.636         -79.5            -0        395       133.819       3.82928        395       299.102       16.6755        395       71.6933        4.8981        395       101.209       4.65413
84      2400        2    404.642         -79.5            -0    401.388         -79.5            -0    403.629         -79.5            -0    402.686         -79.5            -0    401.064         -79.5            -0    404.338         -79.5            -0    403.823         -79.5            -0    404.589         -79.5            -0        395       133.769       3.76924        395       299.493        16.351        395       71.8395        4.8035        395       101.292        4.5654
85      2430        3    404.598         -79.5            -0    401.357         -79.5            -0    403.585         -79.5            -0    402.648         -79.5            -0    401.032         -79.5            -0    404.292         -79.5            -0    403.779         -79.5            -0    404.542         -79.5            -0        395       133.717       3.71085        395       299.879       16.0335        395       71.9758       4.71161        395       101.377       4.48058
86      2460        2    404.555         -79.5            -0    401.326         -79.5            -0    403.543         -79.5            -0     402.61         -79.5            -0    400.999         -79.5            -0    404.246         -79.5            -0    403.736         -79.5            -0    404.497         -79.5            -0        395       133.665       3.65403        395       300.264       15.7235        395       72.1052       4.62317        395       101.452       4.39891
87      2490        3    404.512         -79.5            -0    401.296         -79.5            -0    403.501         -79.5            -0    402.573         -79.5            -0    400.968         -79.5            -0    404.201         -79.5            -0    403.694         -79.5            -0    404.452         -79.5            -0        395       133.609       3.59846        395       300.663        15.421        395       72.2259       4.53793        395       101.514       4.32009
88      2520        2    404.471         -79.5            -0    401.267         -79.5            -0     403.46         -79.5            -0    402.537         -79.5            -0    400.936         -79.5            -0    404.157         -79.5            -0    403.653         -79.5            -0    404.408         -79.5            -0        395        133.55       3.54415        395       301.067       15.1266        395       72.3396       4.45543        395       101.564       4.24412
89      2550        2     404.43         -79.5            -0    401.238         -79.5            -0     403.42         -79.5            -0    402.501         -79.5            -0    400.905         -79.5            -0    404.115         -79.5            -0    403.613         -79.5            -0    404.365         -79.5            -0        395       133.491       3.49114        395       301.467       14.8398        395       72.4511       4.37627        395       101.606        4.1708
90      2580        2     404.39         -79.5            -0    401.209         -79.5            -0    403.381         -79.5            -0    402.466         -79.5            -0    400.875         -79.5            -0    404.072         -79.5            -0    403.573         -79.5            -0    404.323         -79.5            -0        395       133.431       3.43962        395       301.856       14.5605        395       72.5684       4.30116        395       101.638       4.10001
